Sample,Diet
SL142,Chow
SL145,Chow
SL233,Chow
SL237,Chow
SL238,Chow
SL239,Chow
SL2310,Chow
SL221,Chow
SL223,Chow
SL225,Chow
SL226,Chow
SL227,Chow
SL241,Chow
SL242,Chow
SL243,Chow
SL244,Chow
SL245,Chow
GC222,Sucrose
GC226,Sucrose
GC229,Sucrose
SL32,Sucrose
SL112,Sucrose
SL114,Sucrose
SL118,Sucrose
SL42,Sucrose
SL43,Sucrose
SL44,Sucrose
GC112,Glucose
GC116,Glucose
GC191,Glucose
GC195,Glucose
GC196,Glucose
GC197,Glucose
GC201,Glucose
GC202,Glucose
GC204,Glucose
GC206,Glucose
SL11,Glucose
SL15,Glucose
SL19,Glucose
